iter	Passed	Remaining
823	997	213
824	998	211
825	999	210
826	1001	209
827	1001	208
828	1003	206
829	1003	205
830	1004	204
831	1005	203
832	1006	201
833	1008	200
834	1010	199
835	1011	198
836	1012	197
837	1013	195
838	1014	194
839	1015	193
840	1016	192
841	1017	190
842	1018	189
843	1019	188
844	1020	187
845	1021	185
846	1022	184
847	1024	183
848	1025	182
849	1025	181
850	1026	179
851	1027	178
852	1028	177
853	1030	176
854	1031	174
855	1031	173
856	1032	172
857	1033	171
858	1034	169
859	1036	168
860	1038	167
861	1039	166
862	1040	165
863	1041	163
864	1042	162
865	1043	161
866	1043	160
867	1045	158
868	1046	157
869	1047	156
870	1048	155
871	1049	154
872	1051	153
873	1053	151
874	1054	150
875	1056	149
876	1057	148
877	1058	147
878	1059	145
879	1060	144
880	1061	143
881	1062	142
882	1063	140
883	1065	139
884	1066	138
885	1067	137
886	1068	136
887	1070	134
888	1071	133
889	1072	132
890	1073	131
891	1074	130
892	1075	128
893	1077	127
894	1078	126
895	1080	125
896	1082	124
897	1083	123
898	1084	121
899	1085	120
900	1085	119
901	1086	118
902	1087	116
903	1088	115
904	1089	114
905	1090	113
906	1091	111
907	1092	110
908	1093	109
909	1094	108
910	1096	107
911	1097	105
912	1098	104
913	1099	103
914	1100	102
915	1101	100
916	1101	99
917	1102	98
918	1104	97
919	1104	96
920	1105	94
921	1106	93
922	1108	92
923	1109	91
924	1111	90
925	1112	88
926	1113	87
927	1114	86
928	1115	85
929	1115	83
930	1116	82
931	1117	81
932	1118	80
933	1118	79
934	1119	77
935	1120	76
936	1121	75
937	1123	74
938	1124	73
939	1125	71
940	1126	70
941	1127	69
942	1128	68
943	1129	66
944	1130	65
945	1131	64
946	1132	63
947	1133	62
948	1135	60
949	1136	59
950	1137	58
951	1138	57
952	1139	56
953	1140	55
954	1141	53
955	1142	52
956	1143	51
957	1144	50
958	1145	48
959	1146	47
960	1147	46
961	1149	45
962	1150	44
963	1152	43
964	1153	41
965	1154	40
966	1155	39
967	1156	38
968	1157	37
969	1158	35
970	1158	34
971	1159	33
972	1160	32
973	1161	30
974	1161	29
975	1162	28
976	1163	27
977	1165	26
978	1166	25
979	1167	23
980	1168	22
981	1169	21
982	1170	20
983	1172	19
984	1173	17
985	1174	16
986	1175	15
987	1176	14
988	1176	13
989	1178	11
990	1180	10
991	1181	9
992	1182	8
993	1183	7
994	1184	5
995	1185	4
996	1186	3
997	1187	2
998	1187	1
999	1188	0
